i,j,AR,area
3,70,7.02132,0.000466729
3,71,7.11012,0.000472517
3,72,7.19896,0.000478305
3,73,7.28781,0.000484093
3,74,7.37669,0.000489882
3,75,7.4656,0.00049567
3,76,7.55452,0.000501458
3,77,7.64347,0.000507246
3,78,7.73243,0.000513034
3,79,7.82142,0.000518822
3,80,7.91043,0.000524611
3,81,7.99945,0.000530399
3,82,8.08849,0.000536187
3,83,8.17755,0.000541975
3,84,8.26662,0.000547763
3,85,8.35571,0.000553552
3,86,8.44482,0.00055934
3,87,8.53394,0.000565128
3,88,8.62307,0.000570916
3,89,8.71222,0.000576704
3,90,8.80138,0.000582493
3,91,8.89056,0.000588281
3,92,8.97975,0.000594069
3,93,9.06895,0.000599857
3,94,9.15817,0.000605645
3,95,9.24739,0.000611434
3,96,9.33663,0.000617222
3,97,9.42588,0.00062301
3,98,9.51513,0.000628798
3,99,9.6044,0.000634586
4,0,1.21793,6.679e-05
4,1,1.26394,7.19375e-05
4,2,1.31285,7.70851e-05
4,3,1.36434,8.22326e-05
4,4,1.41814,8.73801e-05
4,5,1.474,9.25276e-05
4,6,1.53168,9.76751e-05
4,7,1.59099,0.000102823
4,8,1.65176,0.00010797
4,9,1.71382,0.000113118
4,10,1.77705,0.000118265
4,11,1.84132,0.000123413
4,12,1.90653,0.00012856
4,13,1.97258,0.000133708
4,14,2.0394,0.000138855
4,15,2.10691,0.000144003
4,16,2.17504,0.00014915
4,17,2.24374,0.000154298
4,18,2.31296,0.000159445
4,19,2.38266,0.000164593
4,20,2.45278,0.00016974
4,21,2.52331,0.000174888
4,22,2.59419,0.000180035
4,23,2.66541,0.000185183
4,24,2.73695,0.00019033
4,25,2.80876,0.000195478
4,26,2.88084,0.000200625
4,27,2.95317,0.000205773
4,28,3.02572,0.00021092
4,29,3.09849,0.000216068
4,30,3.17145,0.000221215
4,31,3.24459,0.000226363
4,32,3.31791,0.00023151
4,33,3.39138,0.000236658
4,34,3.46501,0.000241805
4,35,3.53878,0.000246953
4,36,3.61267,0.0002521
4,37,3.6867,0.000257248
